City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,half moon bay,37.4636,-122.4286,17.11,74,40,3.09,US,1667064412
188,san jose,37.3394,-121.895,18.45,65,40,1.54,US,1667064105
189,harper,4.375,-7.7169,27.35,78,81,2.68,LR,1667064412
190,necochea,-38.5473,-58.7368,16.64,52,44,6.22,AR,1667064413
191,vestmannaeyjar,63.4427,-20.2734,6.55,93,40,9.77,IS,1667064413
192,nouakchott,18.0858,-15.9785,38.96,24,100,5.53,MR,1667064413
193,paso de carrasco,-34.8603,-56.0522,22.08,69,75,4.12,UY,1667064414
194,kavieng,-2.5744,150.7967,28.03,73,100,4.16,PG,1667064192
195,san patricio,28.017,-97.5169,21.92,49,0,5.8,US,1667064414
196,saint-philippe,-21.3585,55.7679,23.77,80,42,4.07,RE,1667064415
197,keti bandar,24.1447,67.4497,27.05,65,0,4.53,PK,1667064249
198,saint-louis,16.3333,-15.0,36.8,11,100,3.84,SN,1667064415
199,dolinsk,47.35,142.8,7.05,96,100,5.8,RU,1667064415
200,elk city,35.412,-99.4043,14.12,51,100,4.63,US,1667064291
201,queanbeyan,-35.35,149.2333,6.38,86,1,1.54,AU,1667064416
202,kidal,18.4411,1.4078,29.6,12,0,5.49,ML,1667064416
203,mantua,45.1667,10.7833,19.58,79,5,2.29,IT,1667064417
204,marsh harbour,26.5412,-77.0636,26.99,70,24,8.95,BS,1667064417
205,port hedland,-20.3167,118.5667,22.03,64,1,5.66,AU,1667064417
206,sanger,36.708,-119.556,18.32,57,0,4.12,US,1667064418
207,garowe,8.4054,48.4845,26.71,61,28,8.18,SO,1667064418
208,maba,24.6841,113.5984,16.13,92,58,1.34,CN,1667064419
209,bengkulu,-3.8004,102.2655,24.13,91,68,2.08,ID,1667064419
210,bell ville,-32.6259,-62.6887,32.67,27,0,2.95,AR,1667064419
211,provideniya,64.3833,-173.3,-9.64,85,93,4.11,RU,1667064420
212,itarema,-2.9248,-39.9167,31.36,56,66,9.59,BR,1667064420
213,yabelo,4.8833,38.0833,18.9,62,99,6.09,ET,1667064421
214,sosnovo-ozerskoye,52.5249,111.5418,-2.44,88,100,2.34,RU,1667064421
215,nikolskoye,59.7035,30.7861,11.94,86,100,6.29,RU,1667064421
216,beloha,-25.1667,45.05,21.01,77,87,7.62,MG,1667064422
217,arona,28.0996,-16.681,23.32,72,0,7.2,ES,1667064422
218,lyuban,52.7985,28.0048,12.85,84,100,5.94,BY,1667064423
219,karangasem,-8.45,115.6167,24.24,79,50,3.06,ID,1667064423
220,santa marta,11.2408,-74.199,31.03,68,20,6.17,CO,1667064422
221,yongan,39.6957,113.6871,7.92,88,100,1.17,CN,1667064423
222,nome,64.5011,-165.4064,-5.96,86,40,2.57,US,1667064403
223,beyneu,45.3167,55.2,5.89,87,88,6.94,KZ,1667064424
224,ardakan,32.31,54.0175,24.0,21,93,2.05,IR,1667064424
225,te anau,-45.4167,167.7167,9.0,91,74,1.85,NZ,1667064230
226,longyearbyen,78.2186,15.6401,-5.09,68,40,6.69,SJ,1667064425
227,tuatapere,-46.1333,167.6833,10.46,95,60,1.74,NZ,1667064425
228,sabang,5.8933,95.3214,27.61,76,48,5.01,ID,1667064426
229,egvekinot,66.3167,-179.1667,-12.53,74,100,5.28,RU,1667064246
230,kloulklubed,7.0419,134.2556,25.28,78,100,2.93,PW,1667064426
231,tommot,58.9564,126.2925,-10.41,95,100,0.78,RU,1667064427
232,khani,41.9563,42.9566,6.76,88,100,1.17,GE,1667064427
233,songjianghe,42.1859,127.479,-1.62,59,0,1.38,CN,1667064427
234,kitimat,54.0524,-128.6534,4.21,28,100,2.08,CA,1667064428
235,glendive,47.1053,-104.7125,12.88,54,0,3.13,US,1667064429
236,laksar,29.7667,78.05,19.25,66,0,1.62,IN,1667064429
237,harrison,30.4091,-89.0436,27.01,87,75,10.29,US,1667064430
238,abu dhabi,24.4667,54.3667,29.01,71,1,2.57,AE,1667064260
239,trelew,-43.249,-65.3051,16.15,18,0,8.75,AR,1667064430
240,pisco,-13.7,-76.2167,19.45,72,20,5.14,PE,1667064430
241,taoudenni,22.6783,-3.9836,33.29,7,0,3.52,ML,1667064431
242,narsaq,60.9167,-46.05,0.12,85,48,2.7,GL,1667064431
243,naze,28.3667,129.4833,21.51,81,89,8.98,JP,1667064432
244,saint-georges,12.0564,-61.7485,29.82,74,75,8.23,GD,1667064432
245,yar-sale,66.8333,70.8333,-6.68,88,93,5.46,RU,1667064432
246,kawalu,-7.3817,108.2082,21.04,95,100,1.14,ID,1667064433
247,requena,39.4883,-1.1004,15.84,72,98,2.66,ES,1667064433
248,verkhoyansk,67.5447,133.385,-23.42,97,19,0.93,RU,1667064434
249,batagay,67.6333,134.6333,-23.21,97,47,1.64,RU,1667064434
250,araceli,10.5529,119.9913,28.02,78,100,8.03,PH,1667064434
251,sharjah,25.3573,55.4033,29.99,65,14,2.57,AE,1667064280
252,buraydah,26.326,43.975,26.25,13,18,3.16,SA,1667064435
253,bhit shah,25.8044,68.4927,26.99,41,4,3.63,PK,1667064435
254,yermakovskoye,53.2831,92.4003,-0.78,59,97,0.81,RU,1667064436
255,kyaka,-1.2522,31.4203,20.03,80,98,2.21,TZ,1667064255
256,raahe,64.6833,24.4833,5.05,82,100,14.98,FI,1667064436
257,solnechnyy,50.7214,136.6319,-1.23,64,4,0.77,RU,1667064437
258,coquimbo,-29.9533,-71.3436,16.85,72,75,5.14,CL,1667064437
259,vao,-22.6667,167.4833,23.88,83,1,4.63,NC,1667064437
260,sao joao da barra,-21.6403,-41.0511,32.05,75,49,7.35,BR,1667064438
261,mabasa,16.321,121.1262,23.76,98,100,2.51,PH,1667064438
262,kangaatsiaq,68.3065,-53.4641,0.4,82,100,4.2,GL,1667064438
263,sao filipe,14.8961,-24.4956,27.78,64,100,1.69,CV,1667064439
264,ikalamavony,-21.15,46.5833,23.82,58,58,4.08,MG,1667064439
265,camopi,3.1655,-52.3158,27.18,90,72,1.86,GF,1667064440
266,kondinskoye,59.6481,67.41,-0.74,86,99,4.36,RU,1667064440
267,listvyanskiy,54.4399,83.4984,-3.11,70,77,1.68,RU,1667064441
268,richards bay,-28.783,32.0377,21.32,64,28,7.61,ZA,1667064441
269,aleksandrov gay,50.147,48.5704,4.52,92,100,3.13,RU,1667064441
270,georgetown,5.4112,100.3354,27.35,90,40,0.0,MY,1667064442
271,huasahuasi,-11.3167,-75.6167,13.87,46,44,4.24,PE,1667064442
272,santa vitoria do palmar,-33.5189,-53.3681,28.01,38,2,4.73,BR,1667064014
273,urusha,54.05,122.9,-3.48,68,100,1.18,RU,1667064443
274,marly,50.3456,3.5496,20.56,64,100,4.51,FR,1667064443
275,airai,-8.9266,125.4092,16.59,93,97,0.33,TL,1667064443
276,baruun-urt,46.6806,113.2792,7.69,82,100,5.93,MN,1667064444
277,maniitsoq,65.4167,-52.9,-0.05,69,100,11.32,GL,1667064444
278,baracoa,20.3467,-74.4958,29.25,65,65,2.99,CU,1667064444
